Customer ID,Name,Email,Product Purchased,Purchase Date,Amount Spent ($),Age,City,Payment Method,Last Login Date,Membership Status,Number of Orders,Average Order Value ($),Preferred Shipping Method,Account Created Date
2824,Donald Walker,rhodespatricia@example.org,Smartphone,2025-02-06,326.92,20,North Jefferyhaven,Debit Card,2024-12-09,Silver,41,7.97,Express,2023-09-13 08:00:26.282457
9928,Jerry Ramirez,blakeerik@example.com,Smartphone,2025-01-30,127.14,27,Port Matthew,Debit Card,2024-09-08,Bronze,46,2.76,Express,2023-03-27 16:03:37.170610
5333,Monica Herrera,smiller@example.net,Smartphone,2025-02-07,303.44,73,Barbaraland,Credit Card,2024-08-31,Gold,23,13.19,Express,2023-05-14 13:58:09.719591
2307,Sharon James,xreid@example.org,Smartphone,2025-01-31,131.68,31,Jacquelineland,Debit Card,2024-12-10,Gold,19,6.93,Standard,2023-04-23 20:25:41.140584
5010,James Mayo,gabriellecameron@example.org,Wireless Headphones,2025-01-26,125.81,20,Richardland,Credit Card,2024-09-29,Gold,47,2.68,Standard,2024-01-30 17:35:16.927107
6155,Jonathan Wilkerson,ithomas@example.org,Laptop Case,2025-02-11,183.32,52,Juliechester,Credit Card,2025-01-31,Silver,46,3.99,Express,2023-07-16 05:19:00.298982
3266,Ann Williams,hernandezernest@example.net,Smartphone,2025-02-01,64.52,22,Jamesmouth,PayPal,2024-11-26,Silver,15,4.3,Standard,2024-02-10 00:30:27.997661
2876,Kimberly Adams,daniel62@example.com,Portable Charger,2025-01-20,407.42,64,Teresaburgh,Debit Card,2024-11-22,Gold,1,407.42,Standard,2023-03-31 05:02:22.242570
5889,Katie Gonzalez,kathryn88@example.org,Wireless Headphones,2025-02-06,57.82,49,North Sarahport,Debit Card,2024-10-05,Bronze,41,1.41,Standard,2023-05-19 07:41:25.252757
2290,John Jones,davidalvarez@example.net,Smartphone,2025-01-24,297.13,51,Brandtside,Credit Card,2025-01-05,Bronze,37,8.03,Express,2023-10-30 07:28:54.741113
6107,Michael Brooks,omartinez@example.org,Smartphone,2025-01-30,391.07,55,New Jeffrey,Credit Card,2024-09-04,Gold,46,8.5,Standard,2023-10-08 20:21:53.411392
2104,Shannon Jones,joshuawashington@example.net,Wireless Headphones,2025-01-23,153.43,77,Sanchezfort,Credit Card,2025-01-15,Silver,15,10.23,Standard,2023-04-30 21:21:19.399300
8062,Jason Shields,nuneztracey@example.org,Wireless Headphones,2025-01-21,120.56,64,Laurenville,Debit Card,2024-10-06,Bronze,7,17.22,Express,2023-04-30 19:35:36.308515
3296,Donald Wright,ramosmichelle@example.net,Laptop Case,2025-01-22,312.38,59,North Sarabury,Debit Card,2024-09-21,Bronze,29,10.77,Express,2023-08-16 17:16:52.786591
7570,Carmen Smith,ybaker@example.com,Portable Charger,2025-01-28,98.43,62,Mooreport,PayPal,2024-10-01,Bronze,14,7.03,Express,2023-03-13 16:55:05.806285
9883,Erik Williams,hshaw@example.org,Smartphone,2025-01-21,348.61,50,Port Jacobland,Credit Card,2024-12-22,Gold,48,7.26,Standard,2023-05-17 06:00:31.220716
5033,Amanda Miller,sarah35@example.org,Smartphone,2025-01-27,212.56,26,Stephenland,Credit Card,2024-08-24,Bronze,8,26.57,Standard,2023-10-05 05:12:02.639552
2638,Daniel Baker,nicole35@example.com,Portable Charger,2025-01-24,122.06,71,Cherylhaven,PayPal,2024-08-24,Bronze,37,3.3,Standard,2023-12-15 18:48:23.476347
2697,Brandy Wilson,newtoneric@example.com,Laptop Case,2025-02-07,88.58,63,Jamesview,Credit Card,2024-11-21,Bronze,20,4.43,Standard,2023-05-23 01:32:11.055559
2512,Sandra Williams,kellie42@example.net,Portable Charger,2025-02-02,378.57,63,Hoffmanville,Debit Card,2024-09-05,Silver,4,94.64,Standard,2024-01-08 21:21:59.313285
9938,Jacob Tran,tanderson@example.com,Laptop Case,2025-02-15,125.27,68,West Jasonbury,Debit Card,2024-12-21,Silver,10,12.53,Express,2023-06-29 12:31:47.301374
7658,Nicole Frost,michellecherry@example.org,Smartphone,2025-02-15,382.78,19,Lake Sandra,Credit Card,2025-01-10,Bronze,36,10.63,Express,2023-07-20 17:14:47.704592
5065,Richard Rodriguez,garrisonjeffrey@example.com,Portable Charger,2025-01-30,400.2,70,East Andrew,Debit Card,2024-09-26,Gold,43,9.31,Standard,2023-06-20 05:43:59.732791
5573,Jordan Frazier,sheila14@example.org,Portable Charger,2025-02-06,203.18,80,Benjaminchester,Debit Card,2024-10-24,Silver,5,40.64,Express,2023-12-04 13:54:30.402534
9379,Steven Lee,fletcheraaron@example.net,Smartphone,2025-02-09,346.54,78,West Ryan,Debit Card,2025-02-09,Bronze,28,12.38,Standard,2024-01-22 15:31:26.826167
6143,Belinda Mccullough,elizabeth56@example.net,Wireless Headphones,2025-01-28,388.93,26,South Elizabeth,Credit Card,2024-10-30,Silver,40,9.72,Standard,2023-11-20 14:14:08.807410
5930,Roy Torres,russellcarpenter@example.net,Smartphone,2025-01-29,95.92,46,Lowehaven,Debit Card,2024-11-16,Bronze,12,7.99,Standard,2024-01-15 11:48:09.408924
3780,Diane Beck,clarence34@example.org,Laptop Case,2025-02-13,486.51,27,North Johnfort,Debit Card,2024-12-11,Gold,48,10.14,Standard,2023-11-28 00:39:39.189644
7790,Laura Higgins,psnyder@example.org,Laptop Case,2025-02-08,424.0,18,Port Ronaldburgh,Credit Card,2025-01-14,Silver,30,14.13,Express,2023-11-01 12:27:48.207406
1822,Sylvia Martinez,lauriecontreras@example.net,Smartphone,2025-02-06,278.9,78,Salazarhaven,Debit Card,2024-11-07,Silver,30,9.3,Standard,2024-01-17 13:32:19.319355
3607,Karen Green,maryramirez@example.net,Wireless Headphones,2025-02-03,29.35,33,Scottport,PayPal,2024-10-04,Gold,29,1.01,Express,2023-06-23 00:13:36.049409
2320,David Benson,calebrussell@example.net,Smartphone,2025-02-02,135.62,21,Port Robert,Credit Card,2025-02-01,Bronze,35,3.87,Standard,2023-09-21 16:10:03.877077
1320,Pamela James,benderkenneth@example.com,Laptop Case,2025-02-14,411.69,79,Medinaside,Credit Card,2025-01-13,Bronze,45,9.15,Standard,2024-01-14 06:15:59.667681
