Customer ID,Name,Email,Product Purchased,Purchase Date,Amount Spent ($),Age,City,Payment Method,Last Login Date,Membership Status,Number of Orders,Average Order Value ($),Preferred Shipping Method,Account Created Date
4581,Kimberly Lynn,emma42@example.com,Portable Charger,2025-01-30,262.69,48,Hendersonville,Debit Card,2024-10-14,Bronze,22,11.94,Standard,2023-12-12 10:56:28.056360
1245,Kimberly Evans,iswanson@example.net,Laptop Case,2025-01-23,476.08,54,West Joannamouth,PayPal,2024-10-15,Gold,38,12.53,Express,2024-02-10 10:28:41.047756
5059,Amber Wilson,vmartinez@example.org,Laptop Case,2025-02-09,198.9,24,Port Thomashaven,PayPal,2024-12-12,Bronze,10,19.89,Standard,2023-04-26 14:40:14.322246
1314,Paul Fleming,sandraperry@example.com,Smartphone,2025-01-28,359.48,56,New Katherine,PayPal,2024-09-16,Gold,17,21.15,Express,2023-06-01 12:37:04.671383
6255,Robert Anderson,owensjennifer@example.org,Smartphone,2025-01-23,415.28,42,South Jeffrey,PayPal,2024-10-05,Gold,24,17.3,Express,2023-07-09 06:13:24.871130
4236,Bradley Johnson,juarezgary@example.org,Portable Charger,2025-02-02,497.71,19,Henryland,Debit Card,2024-11-08,Silver,16,31.11,Standard,2023-10-14 11:15:32.012294
4690,James Frye,deniselamb@example.org,Portable Charger,2025-01-25,203.11,39,North Kristihaven,PayPal,2024-09-03,Bronze,41,4.95,Express,2023-06-27 18:37:12.342787
5759,Alan Chambers,rpace@example.com,Portable Charger,2025-02-05,118.07,38,Bakerville,Debit Card,2024-08-31,Silver,3,39.36,Express,2023-10-08 00:17:43.809432
8228,Bill Mueller,jacob53@example.com,Portable Charger,2025-02-07,404.37,30,North Krystalbury,PayPal,2024-08-24,Gold,15,26.96,Express,2023-06-14 05:08:09.796490
6305,Casey Payne,heathertaylor@example.com,Smartphone,2025-01-31,261.18,48,Dianafurt,Credit Card,2024-11-11,Gold,13,20.09,Standard,2023-06-06 07:39:10.628830
9855,Nathan Gardner,kathryncross@example.org,Smartphone,2025-01-23,309.66,21,Tiffanyland,Credit Card,2024-11-18,Silver,38,8.15,Express,2023-08-16 13:57:53.593270
7312,Bethany Riley,jessica83@example.com,Laptop Case,2025-02-13,460.06,35,New Tonyahaven,Debit Card,2024-10-26,Bronze,43,10.7,Standard,2023-12-01 22:47:51.376886
1987,Priscilla English,rdeleon@example.com,Portable Charger,2025-02-11,495.38,55,Bowenshire,Credit Card,2024-10-20,Bronze,11,45.03,Express,2023-09-12 00:39:09.239784
4061,Whitney Tran,codyhanson@example.org,Smartphone,2025-02-02,327.39,31,Josephview,PayPal,2024-10-11,Gold,48,6.82,Express,2023-03-31 18:01:35.978765
9104,Taylor Jones,xgamble@example.com,Wireless Headphones,2025-02-14,379.53,28,Stevenborough,PayPal,2025-01-22,Bronze,18,21.08,Express,2023-03-04 09:29:43.938312
2555,Daniel Carroll,scott53@example.com,Portable Charger,2025-01-29,409.96,77,New Cheyenneport,Debit Card,2025-02-13,Bronze,43,9.53,Express,2023-06-05 00:31:06.058791
2322,Tanner Smith,todd75@example.org,Portable Charger,2025-01-31,129.06,56,West Daniel,Credit Card,2024-12-25,Silver,46,2.81,Standard,2023-05-14 22:18:16.202454
6326,Carla Steele,jenna07@example.org,Portable Charger,2025-02-07,104.04,20,Sharonhaven,PayPal,2024-11-25,Bronze,48,2.17,Express,2023-05-11 14:44:23.842051
5926,Hector Thomas,jamesnguyen@example.com,Wireless Headphones,2025-02-05,390.74,59,South Christinastad,PayPal,2025-01-14,Silver,16,24.42,Express,2023-03-21 08:41:31.793326
1627,Erica Allen,markgross@example.com,Wireless Headphones,2025-02-07,346.68,61,Lake Phillipmouth,Credit Card,2024-08-24,Bronze,23,15.07,Standard,2023-06-16 22:47:27.798667
9451,Daniel Lewis,marialewis@example.net,Portable Charger,2025-01-28,295.5,45,Ellisland,PayPal,2024-09-02,Silver,47,6.29,Express,2023-08-08 10:48:13.226879
2661,Bryan Anderson,xmartinez@example.com,Portable Charger,2025-01-29,147.35,38,Wandaside,Debit Card,2024-10-11,Gold,6,24.56,Express,2023-08-26 00:55:47.950699
7859,Karen Russell,amber41@example.net,Laptop Case,2025-02-13,411.66,29,East Justin,Debit Card,2024-09-08,Silver,42,9.8,Express,2023-03-03 23:18:46.479196
7538,Gary Alvarado,patrickclark@example.com,Wireless Headphones,2025-02-09,27.53,64,Port Nathanburgh,PayPal,2024-12-19,Silver,48,0.57,Standard,2023-05-26 01:35:23.750072
5650,Douglas Clements,alyssagoodman@example.org,Laptop Case,2025-01-27,369.42,57,Amandaton,Debit Card,2024-11-10,Gold,25,14.78,Express,2023-04-12 03:05:21.378242
9746,Rebecca Mays,pricejohn@example.net,Wireless Headphones,2025-01-19,109.71,34,South Kimberlyville,Debit Card,2024-10-04,Bronze,43,2.55,Standard,2023-05-19 02:18:31.632183
1001,James Dixon,qsanchez@example.net,Wireless Headphones,2025-01-31,163.54,70,Mosleyport,PayPal,2024-11-18,Bronze,12,13.63,Standard,2023-10-03 07:55:36.891380
7998,Nicholas Jensen,allen30@example.com,Laptop Case,2025-02-13,436.33,80,Kristinamouth,Credit Card,2024-09-15,Gold,37,11.79,Express,2024-01-20 21:42:44.561244
